file_name, question, answers
0.png,what is the net worth?,the net worth is $7.50
1.png,what is the gross worth?,the gross worth is $212.09
2.png,what is the vat due?,the vat due is $8.79
3.png,what is the gross worth?,the gross worth is $1054.10
4.png,what is the vat due?,the vat due is $10.59
5.png,what is the net worth?,the net worth is $194.92
6.png,what is the gross worth?,the gross worth is $37153.67
7.png,what is the gross worth?,the gross worth is $4618.75
8.png,what is the net worth?,the net worth is $119.98
9.png,what is the gross worth?,the gross worth is $36946.22
10.png,what is the net worth?,the net worth is $1606.67
11.png,what is the gross worth?,the gross worth is $75.61
12.png,what is the gross worth?,the gross worth is $205.50
13.png,what is the net worth?,the net worth is $74237.40
14.png,what is the net worth?,the net worth is $961.21
15.png,what is the vat due?,the vat due is $4.49
16.png,what is the net worth?,the net worth is $61.96
17.png,what is the vat due?,the vat due is $2.50
18.png,what is the gross worth?,the gross worth is $4916.98
19.png,what is the net worth?,the net worth is $103986.80
20.png,what is the gross worth?,the gross worth is $1523.45
21.png,what is the gross worth?,the gross worth is $18710.63
22.png,what is the net worth?,the net worth is $1075.00
23.png,what is the net worth?,the net worth is $207.89
24.png,what is the gross worth?,the gross worth is $302.58
25.png,what is the vat due?,the vat due is $675.75
26.png,what is the vat due?,the vat due is $11.99
27.png,what is the gross worth?,the gross worth is $10.76
28.png,what is the vat due?,the vat due is $7.30
29.png,what is the vat due?,the vat due is $5333.43
30.png,what is the vat due?,the vat due is $21.75
31.png,what is the net worth?,the net worth is $177.55
32.png,what is the net worth?,the net worth is $181.09
33.png,what is the net worth?,the net worth is $195.48
34.png,what is the net worth?,the net worth is $7160.71
35.png,what is the gross worth?,the gross worth is $237.49
36.png,what is the gross worth?,the gross worth is $309.10
37.png,what is the vat due?,the vat due is $5.50
38.png,what is the net worth?,the net worth is $109.55
39.png,what is the gross worth?,the gross worth is $5274.36
40.png,what is the net worth?,the net worth is $5936.86
41.png,what is the vat due?,the vat due is $88.16
42.png,what is the vat due?,the vat due is $80.19
43.png,what is the vat due?,the vat due is $95.32
44.png,what is the net worth?,the net worth is $1759.82
45.png,what is the net worth?,the net worth is $161.60
46.png,what is the gross worth?,the gross worth is $13986.35
47.png,what is the net worth?,the net worth is $304.58
48.png,what is the net worth?,the net worth is $54.95
49.png,what is the gross worth?,the gross worth is $574.51
50.png,what is the net worth?,the net worth is $1974.90
51.png,what is the gross worth?,the gross worth is $87.96
52.png,what is the vat due?,the vat due is $329.05
53.png,what is the gross worth?,the gross worth is $30508.80
54.png,what is the vat due?,the vat due is $300.47
55.png,what is the vat due?,the vat due is $150.75
56.png,what is the gross worth?,the gross worth is $1408.94
57.png,what is the vat due?,the vat due is $20.33
58.png,what is the net worth?,the net worth is $16913.21
59.png,what is the vat due?,the vat due is $959.91
60.png,what is the vat due?,the vat due is $20.89
61.png,what is the gross worth?,the gross worth is $9645.88
62.png,what is the vat due?,the vat due is $5.88
63.png,what is the net worth?,the net worth is $9.99
64.png,what is the gross worth?,the gross worth is $76.91
65.png,what is the net worth?,the net worth is $27698.43
66.png,what is the vat due?,the vat due is $2630.94
67.png,what is the net worth?,the net worth is $610.98
68.png,what is the gross worth?,the gross worth is $14.82
69.png,what is the vat due?,the vat due is $3329.40
70.png,what is the gross worth?,the gross worth is $123.09
71.png,what is the net worth?,the net worth is $293.76
72.png,what is the vat due?,the vat due is $15.94
73.png,what is the vat due?,the vat due is $18.28
74.png,what is the vat due?,the vat due is $27.49
75.png,what is the vat due?,the vat due is $15.88
76.png,what is the net worth?,the net worth is $59.97 
77.png,what is the vat due?,the vat due is $12.70
78.png,what is the gross worth?,the gross worth is $475.75
79.png,what is the net worth?,the net worth is $210.11
80.png,what is the net worth?,the net worth is $2132.51
81.png,what is the vat due?,the vat due is $2.61
82.png,what is the vat due?,the vat due is $23.38
83.png,what is the net worth?,the net worth is $981.89
84.png,what is the net worth?,the net worth is $603.65
85.png,what is the net worth?,the net worth is $13.96
86.png,what is the net worth?,the net worth is $361.37
87.png,what is the gross worth?,the gross worth is $557.85
88.png,what is the net worth?,the net worth is $24.12
89.png,what is the net worth?,the net worth is $44015.12
90.png,what is the gross worth?,the gross worth is $497.98
91.png,what is the gross worth?,the gross worth is $529.90
92.png,what is the gross worth?,the gross worth is $6236.91
93.png,what is the vat due?,the vat due is $46.13
94.png,what is the gross worth?,the gross worth is $116.29
95.png,what is the gross worth?,the gross worth is $71.39
96.png,what is the vat due?,the vat due is $43.84
97.png,what is the gross worth?,the gross worth is $165.94
98.png,what is the net worth?,the net worth is $17045
99.png,what is the vat due?,the vat due is $61.41
100.png,what is the net worth?,the net worth is $494.96
101.png,what is the gross worth?,the gross worth is $57483.07
102.png,what is the net worth?,the net worth is $160
103.png,what is the net worth?,the net worth is $681.81
104.png,what is the net worth?,the net worth is $366.59
105.png,what is the net worth?,the net worth is $61429.21
106.png,what is the vat due?,the vat due is $1436.78
107.png,what is the gross worth?,the gross worth is $6004.31
108.png,what is the vat due?,the vat due is $27.57
109.png,what is the gross worth?,the gross worth is $6016.84
110.png,what is the net worth?,the net worth is $3.96
111.png,what is the vat due?,the vat due is $5.94
112.png,what is the net worth?,the net worth is $14.67
113.png,what is the gross worth?,the gross worth is $48517.63
114.png,what is the net worth?,the net worth is $32338.18
115.png,what is the net worth?,the net worth is $2816.88
116.png,what is the vat due?,the vat due is $50.00
117.png,what is the net worth?,the net worth is $849.37
118.png,what is the vat due?,the vat due is $121.12
119.png,what is the vat due?,the vat due is $36
120.png,what is the net worth?,the net worth is $36.99
121.png,what is the net worth?,the net worth is $1055.46
122.png,what is the net worth?,the net worth is $21676.43
123.png,what is the gross worth?,the gross worth is $36210.72
124.png,what is the net worth?,the net worth is $9368.88
125.png,what is the gross worth?,the gross worth is $2521.04
126.png,what is the gross worth?,the gross worth is $748.24
127.png,what is the gross worth?,the gross worth is $897.52
128.png,what is the gross worth?,the gross worth is $1369.50
129.png,what is the vat due?,the vat due is $280.50
130.png,what is the net worth?,the net worth is $48253.60
131.png,what is the vat due?,the vat due is $0.20
132.png,what is the gross worth?,the gross worth is $5906.47
133.png,what is the vat due?,the vat due is $110.39
134.png,what is the vat due?,the vat due is $7.19
135.png,what is the net worth?,the net worth is $16863.96
136.png,what is the vat due?,the vat due is $1
137.png,what is the net worth?,the net worth is $261.95
138.png,what is the gross worth?,the gross worth is $323.84
139.png,what is the net worth?,the net worth is $1002.64
140.png,what is the gross worth?,the gross worth is $3729.94
141.png,what is the net worth?,the net worth is $8275.87
142.png,what is the gross worth?,the gross worth is $276.60
143.png,what is the net worth?,the net worth is $57.90
144.png,what is the vat due?,the vat due is $0.40
145.png,what is the gross worth?,the gross worth is $569.69
146.png,what is the net worth?,the net worth is $104.90
147.png,what is the net worth?,the net worth is $72035.24
148.png,what is the gross worth?,the gross worth is $640.15
149.png,what is the net worth?,the net worth is $308.90
150.png,what is the net worth?,the net worth is $361.96
151.png,what is the gross worth?,the gross worth is $225.19
152.png,what is the vat due?,the vat due is $255.48
153.png,what is the vat due?,the vat due is $29.37
154.png,what is the vat due?,the vat due is $2416.16
155.png,what is the gross worth?,the gross worth is $19932
156.png,what is the net worth?,the net worth is $1267.95
157.png,what is the vat due?,the vat due is $368.67
158.png,what is the vat due?,the vat due is $35.85
159.png,what is the net worth?,the net worth is $42066.72
160.png,what is the vat due?,the vat due is $27.78
161.png,what is the net worth?,the net worth is $38789.83
162.png,what is the gross worth?,the gross worth is $223.01
163.png,what is the vat due?,the vat due is $32.20
164.png,what is the net worth?,the net worth is $132.97
165.png,what is the gross worth?,the gross worth is $3120.51
166.png,what is the gross worth?,the gross worth is $5296.43
167.png,what is the net worth?,the net worth is $15173.65
168.png,what is the gross worth?,the gross worth is $500.29
169.png,what is the gross worth?,the gross worth is $3762.43
170.png,what is the gross worth?,the gross worth is $111.31
171.png,what is the vat due?,the vat due is $58.69
172.png,what is the vat due?,the vat due is $1433.11
173.png,what is the vat due?,the vat due is $8.31
174.png,what is the gross worth?,the gross worth is $1165.90
175.png,what is the gross worth?,the gross worth is $26764.68
176.png,what is the net worth?,the net worth is $10800
177.png,what is the gross worth?,the gross worth is $422.55
178.png,what is the net worth?,the net worth is $125.94
179.png,what is the gross worth?,the gross worth is 686.75
180.png,what is the net worth?,the net worth is $28929.32
181.png,what is the vat due?,the vat due is $131.99
182.png,what is the net worth?,the net worth is $995.96
183.png,what is the net worth?,the net worth is $249.89
184.png,what is the net worth?,the net worth is $873.90
