file_name, question, answers
train/0.png,what is the net worth?,the net worth is $7.50
train/1.png,what is the gross worth?,the gross worth is $212.09
train/2.png,what is the vat due?,the vat due is $8.79
train/3.png,what is the gross worth?,the gross worth is $1054.10
train/4.png,what is the vat due?,the vat due is $10.59
train/5.png,what is the net worth?,the net worth is $194.92
train/6.png,what is the gross worth?,the gross worth is $37153.67
train/7.png,what is the gross worth?,the gross worth is $4618.75
train/8.png,what is the net worth?,the net worth is $119.98
train/9.png,what is the gross worth?,the gross worth is $36946.22
train/10.png,what is the net worth?,the net worth is $1606.67
train/11.png,what is the gross worth?,the gross worth is $75.61
train/12.png,what is the gross worth?,the gross worth is $205.50
train/13.png,what is the net worth?,the net worth is $74237.40
train/14.png,what is the net worth?,the net worth is $961.21
train/15.png,what is the vat due?,the vat due is $4.49
train/16.png,what is the net worth?,the net worth is $61.96
train/17.png,what is the vat due?,the vat due is $2.50
train/18.png,what is the gross worth?,the gross worth is $4916.98
train/19.png,what is the net worth?,the net worth is $103986.80
train/20.png,what is the gross worth?,the gross worth is $1523.45
train/21.png,what is the gross worth?,the gross worth is $18710.63
train/22.png,what is the net worth?,the net worth is $1075.00
train/23.png,what is the net worth?,the net worth is $207.89
train/24.png,what is the gross worth?,the gross worth is $302.58
train/25.png,what is the vat due?,the vat due is $675.75
train/26.png,what is the vat due?,the vat due is $11.99
train/27.png,what is the gross worth?,the gross worth is $10.76
train/28.png,what is the vat due?,the vat due is $7.30
train/29.png,what is the vat due?,the vat due is $5333.43
train/30.png,what is the vat due?,the vat due is $21.75
train/31.png,what is the net worth?,the net worth is $177.55
train/32.png,what is the net worth?,the net worth is $181.09
train/33.png,what is the net worth?,the net worth is $195.48
train/34.png,what is the net worth?,the net worth is $7160.71
train/35.png,what is the gross worth?,the gross worth is $237.49
train/36.png,what is the gross worth?,the gross worth is $309.10
train/37.png,what is the vat due?,the vat due is $5.50
train/38.png,what is the net worth?,the net worth is $109.55
train/39.png,what is the gross worth?,the gross worth is $5274.36
train/40.png,what is the net worth?,the net worth is $5936.86
train/41.png,what is the vat due?,the vat due is $88.16
train/42.png,what is the vat due?,the vat due is $80.19
train/43.png,what is the vat due?,the vat due is $95.32
train/44.png,what is the net worth?,the net worth is $1759.82
train/45.png,what is the net worth?,the net worth is $161.60
train/46.png,what is the gross worth?,the gross worth is $13986.35
train/47.png,what is the net worth?,the net worth is $304.58
train/48.png,what is the net worth?,the net worth is $54.95
train/49.png,what is the gross worth?,the gross worth is $574.51
train/50.png,what is the net worth?,the net worth is $1974.90
train/51.png,what is the gross worth?,the gross worth is $87.96
train/52.png,what is the vat due?,the vat due is $329.05
train/53.png,what is the gross worth?,the gross worth is $30508.80
train/54.png,what is the vat due?,the vat due is $300.47
train/55.png,what is the vat due?,the vat due is $150.75
train/56.png,what is the gross worth?,the gross worth is $1408.94
train/57.png,what is the vat due?,the vat due is $20.33
train/58.png,what is the net worth?,the net worth is $16913.21
train/59.png,what is the vat due?,the vat due is $959.91
train/60.png,what is the vat due?,the vat due is $20.89
train/61.png,what is the gross worth?,the gross worth is $9645.88
train/62.png,what is the vat due?,the vat due is $5.88
train/63.png,what is the net worth?,the net worth is $9.99
train/64.png,what is the gross worth?,the gross worth is $76.91
train/65.png,what is the net worth?,the net worth is $27698.43
train/66.png,what is the vat due?,the vat due is $2630.94
train/67.png,what is the net worth?,the net worth is $610.98
train/68.png,what is the gross worth?,the gross worth is $14.82
train/69.png,what is the vat due?,the vat due is $3329.40
train/70.png,what is the gross worth?,the gross worth is $123.09
train/71.png,what is the net worth?,the net worth is $293.76
train/72.png,what is the vat due?,the vat due is $15.94
train/73.png,what is the vat due?,the vat due is $18.28
train/74.png,what is the vat due?,the vat due is $27.49
train/75.png,what is the vat due?,the vat due is $15.88
train/76.png,what is the net worth?,the net worth is $59.97 
train/77.png,what is the vat due?,the vat due is $12.70
train/78.png,what is the gross worth?,the gross worth is $475.75
train/79.png,what is the net worth?,the net worth is $210.11
train/80.png,what is the net worth?,the net worth is $2132.51
train/81.png,what is the vat due?,the vat due is $2.61
train/82.png,what is the vat due?,the vat due is $23.38
train/83.png,what is the net worth?,the net worth is $981.89
train/84.png,what is the net worth?,the net worth is $603.65
train/85.png,what is the net worth?,the net worth is $13.96
train/86.png,what is the net worth?,the net worth is $361.37
train/87.png,what is the gross worth?,the gross worth is $557.85
train/88.png,what is the net worth?,the net worth is $24.12
train/89.png,what is the net worth?,the net worth is $44015.12
train/90.png,what is the gross worth?,the gross worth is $497.98
train/91.png,what is the gross worth?,the gross worth is $529.90
train/92.png,what is the gross worth?,the gross worth is $6236.91
train/93.png,what is the vat due?,the vat due is $46.13
train/94.png,what is the gross worth?,the gross worth is $116.29
train/95.png,what is the gross worth?,the gross worth is $71.39
train/96.png,what is the vat due?,the vat due is $43.84
train/97.png,what is the gross worth?,the gross worth is $165.94
train/98.png,what is the net worth?,the net worth is $17045
train/99.png,what is the vat due?,the vat due is $61.41
train/100.png,what is the net worth?,the net worth is $494.96
train/101.png,what is the gross worth?,the gross worth is $57483.07
train/102.png,what is the net worth?,the net worth is $160
train/103.png,what is the net worth?,the net worth is $681.81
train/104.png,what is the net worth?,the net worth is $366.59
train/105.png,what is the net worth?,the net worth is $61429.21
train/106.png,what is the vat due?,the vat due is $1436.78
train/107.png,what is the gross worth?,the gross worth is $6004.31
train/108.png,what is the vat due?,the vat due is $27.57
train/109.png,what is the gross worth?,the gross worth is $6016.84
train/110.png,what is the net worth?,the net worth is $3.96
train/111.png,what is the vat due?,the vat due is $5.94
train/112.png,what is the net worth?,the net worth is $14.67
train/113.png,what is the gross worth?,the gross worth is $48517.63
train/114.png,what is the net worth?,the net worth is $32338.18
train/115.png,what is the net worth?,the net worth is $2816.88
train/116.png,what is the vat due?,the vat due is $50.00
train/117.png,what is the net worth?,the net worth is $849.37
train/118.png,what is the vat due?,the vat due is $121.12
train/119.png,what is the vat due?,the vat due is $36
train/120.png,what is the net worth?,the net worth is $36.99
train/121.png,what is the net worth?,the net worth is $1055.46
train/122.png,what is the net worth?,the net worth is $21676.43
train/123.png,what is the gross worth?,the gross worth is $36210.72
train/124.png,what is the net worth?,the net worth is $9368.88
train/125.png,what is the gross worth?,the gross worth is $2521.04
train/126.png,what is the gross worth?,the gross worth is $748.24
train/127.png,what is the gross worth?,the gross worth is $897.52
train/128.png,what is the gross worth?,the gross worth is $1369.50
train/129.png,what is the vat due?,the vat due is $280.50
train/130.png,what is the net worth?,the net worth is $48253.60
train/131.png,what is the vat due?,the vat due is $0.20
train/132.png,what is the gross worth?,the gross worth is $5906.47
train/133.png,what is the vat due?,the vat due is $110.39
train/134.png,what is the vat due?,the vat due is $7.19
train/135.png,what is the net worth?,the net worth is $16863.96
train/136.png,what is the vat due?,the vat due is $1
train/137.png,what is the net worth?,the net worth is $261.95
train/138.png,what is the gross worth?,the gross worth is $323.84
train/139.png,what is the net worth?,the net worth is $1002.64
train/140.png,what is the gross worth?,the gross worth is $3729.94
train/141.png,what is the net worth?,the net worth is $8275.87
train/142.png,what is the gross worth?,the gross worth is $276.60
train/143.png,what is the net worth?,the net worth is $57.90
train/144.png,what is the vat due?,the vat due is $0.40
train/145.png,what is the gross worth?,the gross worth is $569.69
train/146.png,what is the net worth?,the net worth is $104.90
train/147.png,what is the net worth?,the net worth is $72035.24
train/148.png,what is the gross worth?,the gross worth is $640.15
train/149.png,what is the net worth?,the net worth is $308.90
train/150.png,what is the net worth?,the net worth is $361.96
train/151.png,what is the gross worth?,the gross worth is $225.19
train/152.png,what is the vat due?,the vat due is $255.48
train/153.png,what is the vat due?,the vat due is $29.37
train/154.png,what is the vat due?,the vat due is $2416.16
train/155.png,what is the gross worth?,the gross worth is $19932
train/156.png,what is the net worth?,the net worth is $1267.95
train/157.png,what is the vat due?,the vat due is $368.67
train/158.png,what is the vat due?,the vat due is $35.85
train/159.png,what is the net worth?,the net worth is $42066.72
train/160.png,what is the vat due?,the vat due is $27.78
train/161.png,what is the net worth?,the net worth is $38789.83
train/162.png,what is the gross worth?,the gross worth is $223.01
train/163.png,what is the vat due?,the vat due is $32.20
train/164.png,what is the net worth?,the net worth is $132.97
train/165.png,what is the gross worth?,the gross worth is $3120.51
train/166.png,what is the gross worth?,the gross worth is $5296.43
